Reporte de Detección de Vehículos

ID: 4049, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 57.85%, Fecha/Hora: 2025-01-12 10:22:17.112306, Tiempo: 0.245986s
ID: 4050, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: furgoneta, Confianza: 47.35%, Fecha/Hora: 2025-01-12 10:22:17.113305, Tiempo: 0.245986s
ID: 4051, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 46.27%, Fecha/Hora: 2025-01-12 10:22:17.115303, Tiempo: 0.245986s
ID: 4052, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 96.46%, Fecha/Hora: 2025-01-12 10:22:17.392134, Tiempo: 0.545803s
ID: 4053, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 95.55%, Fecha/Hora: 2025-01-12 10:22:17.394132, Tiempo: 0.545803s
ID: 4054, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 93.70%, Fecha/Hora: 2025-01-12 10:22:17.395131, Tiempo: 0.545803s
ID: 4055, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 92.20%, Fecha/Hora: 2025-01-12 10:22:17.397130, Tiempo: 0.545803s
ID: 4056, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 90.94%, Fecha/Hora: 2025-01-12 10:22:17.399130, Tiempo: 0.545803s
ID: 4057, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 90.34%, Fecha/Hora: 2025-01-12 10:22:17.401175, Tiempo: 0.545803s
ID: 4058, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 89.06%, Fecha/Hora: 2025-01-12 10:22:17.403154, Tiempo: 0.545803s
ID: 4059, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 87.03%, Fecha/Hora: 2025-01-12 10:22:17.404154, Tiempo: 0.545803s
ID: 4060, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 85.89%, Fecha/Hora: 2025-01-12 10:22:17.406152, Tiempo: 0.545803s
ID: 4061, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 84.65%, Fecha/Hora: 2025-01-12 10:22:17.408151, Tiempo: 0.545803s
ID: 4062, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 79.47%, Fecha/Hora: 2025-01-12 10:22:17.409150, Tiempo: 0.545803s
ID: 4063, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 76.45%, Fecha/Hora: 2025-01-12 10:22:17.411112, Tiempo: 0.545803s
ID: 4064, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 73.43%, Fecha/Hora: 2025-01-12 10:22:17.412096, Tiempo: 0.545803s
ID: 4065, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 57.85%, Fecha/Hora: 2025-01-12 10:22:17.413096, Tiempo: 0.545803s
ID: 4066, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: furgoneta, Confianza: 47.35%, Fecha/Hora: 2025-01-12 10:22:17.415096, Tiempo: 0.545803s
