Reporte de Detección de Vehículos

ID: 64, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 92.01%, Fecha/Hora: 12/1/2025 21:28:58, Tiempo: 0s
ID: 65, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 59.16%, Fecha/Hora: 12/1/2025 21:28:58, Tiempo: 0s
ID: 66, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 91.75%, Fecha/Hora: 12/1/2025 21:28:58, Tiempo: 0s
ID: 67, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 87.41%, Fecha/Hora: 12/1/2025 21:28:58, Tiempo: 0s
ID: 68, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 78.96%, Fecha/Hora: 12/1/2025 21:28:58, Tiempo: 0s
ID: 69, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 73.68%, Fecha/Hora: 12/1/2025 21:28:58, Tiempo: 0s
ID: 70, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 65.83%, Fecha/Hora: 12/1/2025 21:28:58, Tiempo: 0s
ID: 71, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 36.16%, Fecha/Hora: 12/1/2025 21:28:58, Tiempo: 0s
ID: 72, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 86.02%, Fecha/Hora: 12/1/2025 21:28:58, Tiempo: 0s
ID: 73, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 52.53%, Fecha/Hora: 12/1/2025 21:28:58, Tiempo: 0s
ID: 74, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 31.37%, Fecha/Hora: 12/1/2025 21:28:58, Tiempo: 0s
ID: 75, Nombre: streaming_live, Ubicación: En vivo, Tipo: furgoneta, Confianza: 93.10%, Fecha/Hora: 12/1/2025 21:28:59, Tiempo: 0s
ID: 76, Nombre: streaming_live, Ubicación: En vivo, Tipo: furgoneta, Confianza: 86.79%, Fecha/Hora: 12/1/2025 21:28:59, Tiempo: 0s
ID: 77, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 62.79%, Fecha/Hora: 12/1/2025 21:28:59, Tiempo: 0s
ID: 78, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 31.17%, Fecha/Hora: 12/1/2025 21:28:59, Tiempo: 0s
ID: 79, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 88.43%, Fecha/Hora: 12/1/2025 21:28:59, Tiempo: 0s
ID: 80, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 85.65%, Fecha/Hora: 12/1/2025 21:28:59, Tiempo: 0s
ID: 81, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 88.62%, Fecha/Hora: 12/1/2025 21:28:59, Tiempo: 0s
ID: 82, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 87.07%, Fecha/Hora: 12/1/2025 21:28:59, Tiempo: 0s
ID: 83, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 74.09%, Fecha/Hora: 12/1/2025 21:28:59, Tiempo: 0s
ID: 84, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 89.95%, Fecha/Hora: 12/1/2025 21:28:59, Tiempo: 0s
ID: 85, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 83.62%, Fecha/Hora: 12/1/2025 21:28:59, Tiempo: 0s
ID: 86, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 65.96%, Fecha/Hora: 12/1/2025 21:28:59, Tiempo: 0s
ID: 87, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 87.32%, Fecha/Hora: 12/1/2025 21:29:00, Tiempo: 0s
ID: 88, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 82.52%, Fecha/Hora: 12/1/2025 21:29:00, Tiempo: 0s
ID: 89, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 66.32%, Fecha/Hora: 12/1/2025 21:29:00, Tiempo: 0s
ID: 90, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 65.66%, Fecha/Hora: 12/1/2025 21:29:00, Tiempo: 0s
ID: 91, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 36.02%, Fecha/Hora: 12/1/2025 21:29:00, Tiempo: 0s
ID: 92, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 81.18%, Fecha/Hora: 12/1/2025 21:29:01, Tiempo: 0s
ID: 93, Nombre: streaming_live, Ubicación: En vivo, Tipo: furgoneta, Confianza: 31.80%, Fecha/Hora: 12/1/2025 21:29:01, Tiempo: 0s
ID: 94, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 30.47%, Fecha/Hora: 12/1/2025 21:29:01, Tiempo: 0s
ID: 95, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 82.96%, Fecha/Hora: 12/1/2025 21:29:01, Tiempo: 0s
ID: 96, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 78.43%, Fecha/Hora: 12/1/2025 21:29:01, Tiempo: 0s
ID: 97, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 27.72%, Fecha/Hora: 12/1/2025 21:29:01, Tiempo: 0s
ID: 98, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 84.64%, Fecha/Hora: 12/1/2025 21:29:01, Tiempo: 0s
ID: 99, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 74.19%, Fecha/Hora: 12/1/2025 21:29:01, Tiempo: 0s
ID: 100, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 93.69%, Fecha/Hora: 12/1/2025 21:29:02, Tiempo: 0s
ID: 101, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 63.44%, Fecha/Hora: 12/1/2025 21:29:02, Tiempo: 0s
ID: 102, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 89.46%, Fecha/Hora: 12/1/2025 21:29:02, Tiempo: 0s
ID: 103, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 77.43%, Fecha/Hora: 12/1/2025 21:29:02, Tiempo: 0s
ID: 104, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 85.24%, Fecha/Hora: 12/1/2025 21:29:02, Tiempo: 0s
ID: 105, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 77.70%, Fecha/Hora: 12/1/2025 21:29:02, Tiempo: 0s
ID: 106, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 85.67%, Fecha/Hora: 12/1/2025 21:29:02, Tiempo: 0s
ID: 107, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 79.86%, Fecha/Hora: 12/1/2025 21:29:02, Tiempo: 0s
ID: 108, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 28.68%, Fecha/Hora: 12/1/2025 21:29:02, Tiempo: 0s
ID: 109, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 25.16%, Fecha/Hora: 12/1/2025 21:29:02, Tiempo: 0s
ID: 110, Nombre: streaming_live, Ubicación: En vivo, Tipo: furgoneta, Confianza: 98.25%, Fecha/Hora: 12/1/2025 21:29:02, Tiempo: 0s
ID: 111, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 89.75%, Fecha/Hora: 12/1/2025 21:29:02, Tiempo: 0s
ID: 112, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 80.95%, Fecha/Hora: 12/1/2025 21:29:02, Tiempo: 0s
ID: 113, Nombre: streaming_live, Ubicación: En vivo, Tipo: furgoneta, Confianza: 94.96%, Fecha/Hora: 12/1/2025 21:29:03, Tiempo: 0s
ID: 114, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 90.50%, Fecha/Hora: 12/1/2025 21:29:03, Tiempo: 0s
ID: 115, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 85.25%, Fecha/Hora: 12/1/2025 21:29:03, Tiempo: 0s
ID: 116, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 83.89%, Fecha/Hora: 12/1/2025 21:29:03, Tiempo: 0s
ID: 117, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 79.92%, Fecha/Hora: 12/1/2025 21:29:03, Tiempo: 0s
ID: 118, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 37.73%, Fecha/Hora: 12/1/2025 21:29:03, Tiempo: 0s
ID: 119, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 70.71%, Fecha/Hora: 12/1/2025 21:29:03, Tiempo: 0s
ID: 120, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 62.42%, Fecha/Hora: 12/1/2025 21:29:03, Tiempo: 0s
ID: 121, Nombre: streaming_live, Ubicación: En vivo, Tipo: furgoneta, Confianza: 77.21%, Fecha/Hora: 12/1/2025 21:29:03, Tiempo: 0s
ID: 122, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 59.99%, Fecha/Hora: 12/1/2025 21:29:03, Tiempo: 0s
ID: 123, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 56.72%, Fecha/Hora: 12/1/2025 21:29:03, Tiempo: 0s
ID: 124, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 48.05%, Fecha/Hora: 12/1/2025 21:29:03, Tiempo: 0s
ID: 125, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 45.51%, Fecha/Hora: 12/1/2025 21:29:03, Tiempo: 0s
ID: 126, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 84.05%, Fecha/Hora: 12/1/2025 21:29:04, Tiempo: 0s
ID: 127, Nombre: streaming_live, Ubicación: En vivo, Tipo: furgoneta, Confianza: 58.66%, Fecha/Hora: 12/1/2025 21:29:04, Tiempo: 0s
ID: 128, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 45.16%, Fecha/Hora: 12/1/2025 21:29:04, Tiempo: 0s
ID: 129, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 37.78%, Fecha/Hora: 12/1/2025 21:29:04, Tiempo: 0s
ID: 130, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 32.20%, Fecha/Hora: 12/1/2025 21:29:04, Tiempo: 0s
ID: 131, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 89.44%, Fecha/Hora: 12/1/2025 21:29:04, Tiempo: 0s
ID: 132, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 75.92%, Fecha/Hora: 12/1/2025 21:29:04, Tiempo: 0s
ID: 133, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 46.92%, Fecha/Hora: 12/1/2025 21:29:04, Tiempo: 0s
ID: 134, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 84.15%, Fecha/Hora: 12/1/2025 21:29:04, Tiempo: 0s
ID: 135, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 78.96%, Fecha/Hora: 12/1/2025 21:29:04, Tiempo: 0s
ID: 136, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 45.63%, Fecha/Hora: 12/1/2025 21:29:04, Tiempo: 0s
ID: 137, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 45.26%, Fecha/Hora: 12/1/2025 21:29:04, Tiempo: 0s
ID: 138, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 44.36%, Fecha/Hora: 12/1/2025 21:29:04, Tiempo: 0s
