Reporte de Detección de Vehículos

ID: VF-73, Nombre: VideoStream, Ubicación: Desconocido, Tipo: furgoneta, Confianza: 54.24%, Fecha/Hora: 24/1/2025 5:51:29, Tiempo: N/As
ID: VF-74, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 25.99%, Fecha/Hora: 24/1/2025 5:51:29, Tiempo: N/As
ID: VF-75, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 89.78%, Fecha/Hora: 24/1/2025 5:51:29, Tiempo: N/As
ID: VF-76, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 87.17%, Fecha/Hora: 24/1/2025 5:51:30, Tiempo: N/As
ID: VF-77, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 94.16%, Fecha/Hora: 24/1/2025 5:51:30, Tiempo: N/As
ID: VF-78, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 81.80%, Fecha/Hora: 24/1/2025 5:51:30, Tiempo: N/As
ID: VF-79, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 93.34%, Fecha/Hora: 24/1/2025 5:51:30, Tiempo: N/As
ID: VF-80, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 34.77%, Fecha/Hora: 24/1/2025 5:51:30, Tiempo: N/As
ID: VF-81, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 65.92%, Fecha/Hora: 24/1/2025 5:51:31, Tiempo: N/As
ID: VF-82, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 82.29%, Fecha/Hora: 24/1/2025 5:51:31, Tiempo: N/As
ID: VF-83, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 65.38%, Fecha/Hora: 24/1/2025 5:51:31, Tiempo: N/As
ID: VF-84, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 91.48%, Fecha/Hora: 24/1/2025 5:51:31, Tiempo: N/As
ID: VF-85, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 37.76%, Fecha/Hora: 24/1/2025 5:51:31, Tiempo: N/As
ID: VF-86, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 97.82%, Fecha/Hora: 24/1/2025 5:51:31, Tiempo: N/As
ID: VF-87, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 94.21%, Fecha/Hora: 24/1/2025 5:51:31, Tiempo: N/As
ID: VF-88, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 66.76%, Fecha/Hora: 24/1/2025 5:51:31, Tiempo: N/As
ID: VF-89, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 95.75%, Fecha/Hora: 24/1/2025 5:51:32, Tiempo: N/As
ID: VF-90, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 87.13%, Fecha/Hora: 24/1/2025 5:51:32, Tiempo: N/As
ID: VF-91, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 58.07%, Fecha/Hora: 24/1/2025 5:51:32, Tiempo: N/As
ID: VF-92, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 93.94%, Fecha/Hora: 24/1/2025 5:51:33, Tiempo: N/As
ID: VF-93, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 84.23%, Fecha/Hora: 24/1/2025 5:51:33, Tiempo: N/As
ID: VF-94, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 74.49%, Fecha/Hora: 24/1/2025 5:51:33, Tiempo: N/As
ID: VF-95, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 51.99%, Fecha/Hora: 24/1/2025 5:51:33, Tiempo: N/As
ID: VF-96, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 91.26%, Fecha/Hora: 24/1/2025 5:51:33, Tiempo: N/As
ID: VF-97, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 31.77%, Fecha/Hora: 24/1/2025 5:51:33, Tiempo: N/As
ID: VF-98, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 95.28%, Fecha/Hora: 24/1/2025 5:51:33, Tiempo: N/As
