Reporte de Detección de Vehículos

ID: 71, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 27.80%, Fecha/Hora: 26/1/2025 10:31:45, Tiempo: 10.01 ss
ID: 72, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 26.49%, Fecha/Hora: 26/1/2025 10:31:45, Tiempo: 10.01 ss
ID: 73, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 95.35%, Fecha/Hora: 26/1/2025 10:31:45, Tiempo: 10.25 ss
ID: 74, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 70.08%, Fecha/Hora: 26/1/2025 10:31:45, Tiempo: 10.25 ss
ID: 75, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: furgoneta, Confianza: 38.83%, Fecha/Hora: 26/1/2025 10:31:46, Tiempo: 10.57 ss
ID: 76, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 25.99%, Fecha/Hora: 26/1/2025 10:31:46, Tiempo: 10.81 ss
ID: 77, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 29.00%, Fecha/Hora: 26/1/2025 10:31:46, Tiempo: 11.23 ss
ID: 78, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 91.08%, Fecha/Hora: 26/1/2025 10:31:47, Tiempo: 11.59 ss
ID: 79, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 87.17%, Fecha/Hora: 26/1/2025 10:31:47, Tiempo: 11.59 ss
ID: 80, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 94.16%, Fecha/Hora: 26/1/2025 10:31:47, Tiempo: 11.97 ss
ID: 81, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 87.22%, Fecha/Hora: 26/1/2025 10:31:47, Tiempo: 11.97 ss
ID: 82, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 81.80%, Fecha/Hora: 26/1/2025 10:31:47, Tiempo: 11.97 ss
ID: 83, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 93.54%, Fecha/Hora: 26/1/2025 10:31:47, Tiempo: 12.18 ss
ID: 84, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 34.77%, Fecha/Hora: 26/1/2025 10:31:48, Tiempo: 12.37 ss
ID: 85, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 69.24%, Fecha/Hora: 26/1/2025 10:31:48, Tiempo: 12.55 ss
ID: 86, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 82.29%, Fecha/Hora: 26/1/2025 10:31:48, Tiempo: 12.87 ss
ID: 87, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 65.38%, Fecha/Hora: 26/1/2025 10:31:48, Tiempo: 12.87 ss
ID: 88, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 91.48%, Fecha/Hora: 26/1/2025 10:31:48, Tiempo: 13.34 ss
ID: 89, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 82.26%, Fecha/Hora: 26/1/2025 10:31:48, Tiempo: 13.34 ss
ID: 90, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 98.28%, Fecha/Hora: 26/1/2025 10:31:49, Tiempo: 13.50 ss
ID: 91, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 37.76%, Fecha/Hora: 26/1/2025 10:31:49, Tiempo: 13.50 ss
ID: 92, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 94.21%, Fecha/Hora: 26/1/2025 10:31:49, Tiempo: 13.75 ss
ID: 93, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 66.76%, Fecha/Hora: 26/1/2025 10:31:49, Tiempo: 13.75 ss
