Reporte de Detección de Vehículos

ID: 62, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 57.69%, Fecha/Hora: 26/1/2025 8:39:16, Tiempo: N/As
ID: 63, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 91.00%, Fecha/Hora: 26/1/2025 8:39:16, Tiempo: N/As
ID: 64, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 88.95%, Fecha/Hora: 26/1/2025 8:39:16, Tiempo: N/As
ID: 65, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 80.88%, Fecha/Hora: 26/1/2025 8:39:17, Tiempo: N/As
ID: 66, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 71.19%, Fecha/Hora: 26/1/2025 8:39:17, Tiempo: N/As
ID: 67, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 48.27%, Fecha/Hora: 26/1/2025 8:39:17, Tiempo: N/As
ID: 68, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 28.40%, Fecha/Hora: 26/1/2025 8:39:17, Tiempo: N/As
ID: 69, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 95.30%, Fecha/Hora: 26/1/2025 8:39:17, Tiempo: N/As
ID: 70, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 78.49%, Fecha/Hora: 26/1/2025 8:39:17, Tiempo: N/As
ID: 71, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 41.11%, Fecha/Hora: 26/1/2025 8:39:17, Tiempo: N/As
ID: 72, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 93.89%, Fecha/Hora: 26/1/2025 8:39:17, Tiempo: N/As
ID: 73, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: bus, Confianza: 75.52%, Fecha/Hora: 26/1/2025 8:39:17, Tiempo: N/As
ID: 74, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: bus, Confianza: 30.47%, Fecha/Hora: 26/1/2025 8:39:17, Tiempo: N/As
ID: 75, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 27.80%, Fecha/Hora: 26/1/2025 8:39:17, Tiempo: N/As
ID: 76, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 94.37%, Fecha/Hora: 26/1/2025 8:39:18, Tiempo: N/As
ID: 77, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 69.66%, Fecha/Hora: 26/1/2025 8:39:18, Tiempo: N/As
ID: 78, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 27.80%, Fecha/Hora: 26/1/2025 8:39:18, Tiempo: N/As
ID: 79, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 26.49%, Fecha/Hora: 26/1/2025 8:39:18, Tiempo: N/As
ID: 80, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 54.41%, Fecha/Hora: 26/1/2025 8:39:19, Tiempo: N/As
ID: 81, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 25.99%, Fecha/Hora: 26/1/2025 8:39:19, Tiempo: N/As
ID: 82, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 89.78%, Fecha/Hora: 26/1/2025 8:39:19, Tiempo: N/As
ID: 83, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 84.02%, Fecha/Hora: 26/1/2025 8:39:19, Tiempo: N/As
ID: 84, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: furgoneta, Confianza: 25.57%, Fecha/Hora: 26/1/2025 8:39:19, Tiempo: N/As
ID: 85, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 96.88%, Fecha/Hora: 26/1/2025 8:39:19, Tiempo: N/As
ID: 86, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 87.17%, Fecha/Hora: 26/1/2025 8:39:19, Tiempo: N/As
ID: 87, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 94.16%, Fecha/Hora: 26/1/2025 8:39:20, Tiempo: N/As
