Reporte de Detección de Vehículos

ID: 50, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 48.09%, Fecha/Hora: 26/1/2025 10:19:48, Tiempo: 11.20 ss
ID: 51, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 89.62%, Fecha/Hora: 26/1/2025 10:19:48, Tiempo: 11.50 ss
ID: 52, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 54.56%, Fecha/Hora: 26/1/2025 10:19:48, Tiempo: 11.50 ss
ID: 53, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 25.13%, Fecha/Hora: 26/1/2025 10:19:48, Tiempo: 11.50 ss
ID: 54, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 27.12%, Fecha/Hora: 26/1/2025 10:19:49, Tiempo: 11.80 ss
ID: 55, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 96.45%, Fecha/Hora: 26/1/2025 10:19:49, Tiempo: 12.10 ss
ID: 56, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 96.02%, Fecha/Hora: 26/1/2025 10:19:49, Tiempo: 12.10 ss
ID: 57, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 84.61%, Fecha/Hora: 26/1/2025 10:19:49, Tiempo: 13.00 ss
ID: 58, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 91.00%, Fecha/Hora: 26/1/2025 10:19:49, Tiempo: 13.30 ss
ID: 59, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 62.57%, Fecha/Hora: 26/1/2025 10:19:50, Tiempo: 13.60 ss
ID: 60, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 80.88%, Fecha/Hora: 26/1/2025 10:19:50, Tiempo: 13.90 ss
ID: 61, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 71.19%, Fecha/Hora: 26/1/2025 10:19:50, Tiempo: 13.90 ss
ID: 62, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 28.40%, Fecha/Hora: 26/1/2025 10:19:50, Tiempo: 13.90 ss
ID: 63, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 89.81%, Fecha/Hora: 26/1/2025 10:19:50, Tiempo: 14.50 ss
ID: 64, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 41.11%, Fecha/Hora: 26/1/2025 10:19:50, Tiempo: 14.50 ss
ID: 65, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: bus, Confianza: 30.47%, Fecha/Hora: 26/1/2025 10:19:50, Tiempo: 14.80 ss
ID: 66, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 27.80%, Fecha/Hora: 26/1/2025 10:19:50, Tiempo: 14.80 ss
ID: 67, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 96.72%, Fecha/Hora: 26/1/2025 10:19:51, Tiempo: 15.10 ss
ID: 68, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 94.76%, Fecha/Hora: 26/1/2025 10:19:51, Tiempo: 15.10 ss
ID: 69, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 94.37%, Fecha/Hora: 26/1/2025 10:19:51, Tiempo: 15.10 ss
ID: 70, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 69.66%, Fecha/Hora: 26/1/2025 10:19:51, Tiempo: 15.10 ss
ID: 71, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 27.80%, Fecha/Hora: 26/1/2025 10:19:51, Tiempo: 15.10 ss
