Reporte de Detección de Vehículos

ID: 9056, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.30%, Fecha/Hora: 2025-01-26T08:14:20.432172, Tiempo: 0.189881s
ID: 9057, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.30%, Fecha/Hora: 2025-01-26T08:14:20.437169, Tiempo: 0.189881s
ID: 9058, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.30%, Fecha/Hora: 2025-01-26T08:14:20.442167, Tiempo: 0.189881s
ID: 9059, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.29%, Fecha/Hora: 2025-01-26T08:14:20.447163, Tiempo: 0.189881s
ID: 9060, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.29%, Fecha/Hora: 2025-01-26T08:14:20.453159, Tiempo: 0.189881s
ID: 9061, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.27%, Fecha/Hora: 2025-01-26T08:14:20.458157, Tiempo: 0.189881s
ID: 9062, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.27%, Fecha/Hora: 2025-01-26T08:14:20.463153, Tiempo: 0.189881s
ID: 9063, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.27%, Fecha/Hora: 2025-01-26T08:14:20.466151, Tiempo: 0.189881s
ID: 9064, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.96%, Fecha/Hora: 2025-01-26T08:15:10.701711, Tiempo: 0.205872s
ID: 9065, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.93%, Fecha/Hora: 2025-01-26T08:15:10.710705, Tiempo: 0.205872s
ID: 9066, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.89%, Fecha/Hora: 2025-01-26T08:15:10.720700, Tiempo: 0.205872s
ID: 9067, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.89%, Fecha/Hora: 2025-01-26T08:15:10.731693, Tiempo: 0.205872s
ID: 9068, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.89%, Fecha/Hora: 2025-01-26T08:15:10.744685, Tiempo: 0.205872s
ID: 9069, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.82%, Fecha/Hora: 2025-01-26T08:15:10.757677, Tiempo: 0.205872s
ID: 9070, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.82%, Fecha/Hora: 2025-01-26T08:15:10.769669, Tiempo: 0.205872s
ID: 9071, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.79%, Fecha/Hora: 2025-01-26T08:15:10.776665, Tiempo: 0.205872s
ID: 9072, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.76%, Fecha/Hora: 2025-01-26T08:15:10.783660, Tiempo: 0.205872s
ID: 9073, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.73%, Fecha/Hora: 2025-01-26T08:15:10.790656, Tiempo: 0.205872s
ID: 9128, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.93%, Fecha/Hora: 2025-01-26T08:17:36.090823, Tiempo: 0.0s
ID: 9074, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.70%, Fecha/Hora: 2025-01-26T08:15:10.797652, Tiempo: 0.205872s
ID: 9075, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.68%, Fecha/Hora: 2025-01-26T08:15:10.803648, Tiempo: 0.205872s
ID: 9076, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.65%, Fecha/Hora: 2025-01-26T08:15:10.810644, Tiempo: 0.205872s
ID: 9077, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.64%, Fecha/Hora: 2025-01-26T08:15:10.816640, Tiempo: 0.205872s
ID: 9078, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.63%, Fecha/Hora: 2025-01-26T08:15:10.823636, Tiempo: 0.205872s
ID: 9079, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.62%, Fecha/Hora: 2025-01-26T08:15:10.830631, Tiempo: 0.205872s
ID: 9080, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.58%, Fecha/Hora: 2025-01-26T08:15:10.836628, Tiempo: 0.205872s
